line	SAM_width	SAM_height	SAM_arc.length	SAM_midpoint.width	SAM_volume	SAM_height.width.ratio
MO329	133	131	162	119	2791861.972	0.99
MO331	146	137	170	124	3481187.758	0.94
MO332	133	111	143	121	2188186.048	0.84
MO334	132	169	199	120	4838246.77	1.27
MO335	143	143	177	122	3396262.85	1.00
MO336	150	142	174	129	3632598.94	0.94
MO337	145	131	163	118	2280706.152	0.90
MO338	152	160	194	132	4510922.342	1.05
MO340	155	123	161	137	2905351.04	0.79
MO341	140	123	155	119	1944495.296	0.87
MO342	145	156	188	131	4367360.783	1.06
MO344	132	128	159	111	2015127.1	0.99
MO345	131	126	152	106	1908129.261	0.96
MO346	137	151	181	114	2995373.406	1.12
MO347	144	137	170	126	3312296.298	0.95
MO349	137	132	161	122	2928785.215	0.96
MO351	141	123	157	123	2726983.197	0.87
MO352	134	134	164	111	2224191.027	1.01
MO353	145	135	170	131	3088623.992	0.93
MO354	128	126	158	110	1880354.735	1.01
MO355	151	131	166	124	2338058.923	0.87
MO356	139	128	162	123	2848680.539	0.92
MO357	140	177	205	114	4408615.588	1.29
MO358	142	121	155	125	2682805.34	0.85
MO360	146	130	164	122	2277567.414	0.89
MO362	147	123	158	123	2710912.229	0.84
MO364	153	133	168	130	2432666.688	0.86
MO365	142	135	168	119	2390595.577	0.97
MO367	144	153	182	125	4127985.762	1.06
MO368	146	118	154	123	1843674	0.81
MO369	153	153	186	126	3352034.92	1.00
MO372	148	129	163	127	2994267.318	0.88
MO373	150	107	146	136	2251722.742	0.72
MO378	135	127	157	110	2009523.559	0.94
MO379	157	144	178	132	2992694.321	0.91
MO380	141	108	144	124	2193729.078	0.76
MO381	142	121	155	127	2692486.536	0.85
MO382	150	132	166	123	2376999.265	0.87
MO383	134	116	147	114	1797571.647	0.87
MO384	141	151	183	118	3091091.258	1.08
P39	165	173	211	145	4676010.857	1.04
Z24-E1	130	93	122	105	1122600.667	0.71
Z24-E10	169	188	224	140	5752436	1.11
Z24-E100	141	149	185	125	2964540.75	1.06
Z24-E101	159	170	206	134	4533828.8	1.06
Z24-E102	163	188	223	136	5496394.4	1.16
Z24-E103	157	180	214	137	5035911.75	1.14
Z24-E107	148	175	207	122	4655824.333	1.17
Z24-E108	189	175	218	156	5401549	0.92
Z24-E11	146	147	183	128	2899020.6	1.00
Z24-E110	149	128	160	123	2201147	0.86
Z24-E111	157	198	235	136	6189065.2	1.26
Z24-E112	150	180	218	134	4746566.5	1.20
Z24-E113	155	152	184	126	3295734.5	0.99
Z24-E115	165	135	170	130	2947148.667	0.82
Z24-E116	173	184	223	147	5713429	1.07
Z24-E117	152	172	205	127	4421484.6	1.13
Z24-E118	178	185	223	139	5619270	1.04
Z24-E119	173	200	233	142	6579382	1.16
Z24-E120	152	168	202	132	4112902	1.10
Z24-E121	153	148	185	130	3221220	0.97
Z24-E122	161	200	237	140	6346118.2	1.24
Z24-E123	165	225	262	146	8649481.8	1.36
Z24-E124	169	171	206	141	4758931.4	1.01
Z24-E126	126	136	165	109	2232185.75	1.07
Z24-E127	151	164	198	131	4061676.8	1.07
Z24-E128	151	142	178	125	2903233.5	0.94
Z24-E129	146	134	165	122	2479357	0.91
Z24-E13	152	159	192	123	3756996.75	1.04
Z24-E130	151	164	201	127	4038515.333	1.08
Z24-E131	158	203	241	139	6396412.25	1.29
Z24-E132	160	151	188	131	3386817	0.94
Z24-E133	165	172	211	144	4631679.667	1.05
Z24-E135	184	187	231	168	6006479	1.02
Z24-E136	153	162	200	138	3782157.25	1.07
Z24-E137	148	119	151	120	1984949	0.80
Z24-E14	149	161	192	117	3607643	1.08
Z24-E141	158	165	202	138	4032252.333	1.05
Z24-E142	139	213	242	118	6819718.8	1.53
Z24-E144	165	168	206	141	4309703.4	1.02
Z24-E145	174	162	202	145	4141740	0.93
Z24-E147	146	154	185	117	3265595.4	1.05
Z24-E15	144	123	153	115	2071378	0.86
Z24-E152	169	140	183	143	3002086.75	0.83
Z24-E157	155	147	182	132	3258800.4	0.95
Z24-E159	182	182	224	157	5581854.4	1.00
Z24-E16	144	188	220	126	5178149.25	1.31
Z24-E160	147	125	160	124	2093702.5	0.85
Z24-E163	161	213	248	133	7386267.667	1.32
Z24-E164	132	146	176	111	3046135	1.08
Z24-E165	174	156	197	143	4044697.6	0.90
Z24-E166	151	168	199	128	4310541	1.11
Z24-E167	159	182	217	133	5228169.4	1.14
Z24-E168	163	166	202	134	4114281	1.02
